CustomerID,CustomerName,CustomerCity,CustomerCountry,PaymentTerms
2001,Callahan Inc,Gilbertchester,Mexico,NET45
2002,"Aguirre, Baxter and Hopkins",East Nancymouth,Japan,COD
2003,Mcbride-Kelly,Timothymouth,Australia,COD
2004,Oliver Inc,West Michelleland,Italy,COD
2005,Morrison-King,Boydfort,UK,EOM
2006,"Hoffman, Smith and Parrish",West Andrew,France,COD
2007,"Thomas, Donaldson and Chen",West Frederickbury,Italy,COD
2008,Figueroa-Olson,Port Amy,Japan,EOM
2009,"Smith, Koch and Odonnell",East Markberg,Singapore,COD
2010,"Morales, Williams and Ross",Douglaston,South Africa,NET45
2011,"Golden, Peterson and Duncan",Port Normaland,Italy,NET30
2012,Watts-Rodriguez,Aguirrefort,USA,NET30
2013,Gibson-Wilkins,Joseberg,Canada,NET15
2014,Williams PLC,East Bryanland,Brazil,NET30
2015,Johnson and Sons,West Jessica,Italy,NET30
2016,"Baird, Larson and Simon",Myershaven,India,NET30
2017,Reynolds-Huber,Cookport,South Africa,NET30
2018,Wallace-Smith,Howellhaven,Japan,NET15
2019,Owens-Simmons,Hansonton,South Africa,NET30
2020,White Ltd,Mooremouth,China,NET30
2021,Mathis-Mendez,Kevinland,Canada,NET15
2022,Jackson Inc,North Lisamouth,Australia,NET45
2023,"Gardner, Taylor and Torres",West Angelaton,Germany,COD
2024,"Bishop, Fields and Brady",Lake Jennifer,China,EOM
2025,Sexton-Martinez,Matthewston,Mexico,EOM
2026,Richardson and Sons,Gibsonhaven,Brazil,NET45
2027,Tucker-Elliott,East Brianburgh,Brazil,NET45
2028,"Juarez, Vargas and Elliott",Baileyside,UK,EOM
2029,Davis Ltd,East James,China,EOM
2030,Aguilar LLC,Victoriafurt,Germany,NET45
2031,Hayes PLC,Kelseyland,Mexico,NET15
2032,"Boyd, Rodriguez and Schroeder",Sarahton,Canada,NET15
2033,Wilson-Kim,West Karen,Germany,COD
2034,"Walsh, Jacobs and Walton",North Brianmouth,Italy,COD
2035,Harmon and Sons,Torresburgh,Mexico,NET30
2036,"Rojas, Harris and Randolph",Johnathanfurt,Brazil,EOM
2037,"Walker, Moore and Bowers",Lake Josehaven,UK,NET15
2038,Freeman Ltd,Spencerbury,China,EOM
2039,Cunningham-Glover,East Edward,Italy,COD
2040,"Thomas, Pham and Martinez",West Jessica,Japan,NET30
2041,Hensley LLC,Port James,UK,COD
2042,James LLC,North Justin,Japan,NET30
2043,Wilkinson Ltd,Lake Charlesport,South Africa,EOM
2044,Taylor-Wright,Carolburgh,Spain,NET30
2045,"Vasquez, Roberts and Smith",Horneville,Australia,NET15
2046,Warner-Holden,Port John,Spain,EOM
2047,Jackson Ltd,Kleinmouth,India,COD
2048,Callahan Inc,Michelemouth,Canada,NET30
2049,"Myers, Meadows and Turner",New Roseville,Japan,NET15
2050,"Smith, Harris and Peters",West Leslieville,India,NET30
2051,Henderson LLC,Lisaville,Mexico,COD
2052,Russo and Sons,North Kimberlymouth,Canada,COD
2053,"Kirk, Bell and Fisher",Port Mason,UK,NET15
2054,"Hampton, Massey and Jordan",West Luis,Canada,COD
2055,"Stokes, Jarvis and Rodriguez",New Haroldshire,USA,NET15
2056,"Mccarty, Craig and Allen",West Adamburgh,Italy,EOM
2057,"Castro, Brown and Pennington",Juliafort,UK,EOM
2058,Norris Group,Josephborough,Italy,COD
2059,"Myers, Villarreal and Carroll",Port Nathan,Spain,NET45
2060,Russo-Daniels,New Briannaborough,USA,EOM
2061,Sanchez Group,North Patriciatown,Germany,NET30
2062,Rivera-Herrera,Pamelafort,South Africa,NET30
2063,Steele-Montoya,Morrowfurt,Italy,NET45
2064,"Stokes, Osborn and Knight",Allisonville,Canada,EOM
2065,Weber and Sons,Williamsfurt,Brazil,NET45
2066,Rice LLC,Mirandastad,Brazil,COD
2067,"King, Beck and Wilson",Jessicashire,Australia,NET15
2068,"Taylor, Herman and Fisher",Bergchester,Australia,NET30
2069,Mcdonald-Austin,North Joebury,Spain,EOM
2070,Martinez-Park,West Paul,USA,NET15
2071,Allison-Robertson,Tarashire,Japan,NET45
2072,"Mendoza, Gordon and Nelson",Port Rachelmouth,USA,NET45
2073,Schmitt and Sons,West Jeffreystad,Germany,COD
2074,"Brown, Cole and Mathews",Lake Alexanderberg,Japan,NET30
2075,Vasquez-Roberts,South Austinton,Japan,COD
2076,James-Mccoy,North Jonathanfurt,South Africa,NET45
2077,Ellis PLC,North Oliviaview,China,EOM
2078,"Ryan, Daniels and Anderson",Laneberg,Spain,NET45
2079,"Weaver, Sullivan and Lawson",Mezaside,Canada,NET30
2080,Franco-Garza,Patrickview,Mexico,NET15
2081,"Kelly, Jensen and Schwartz",Sarahton,Japan,NET15
2082,Ward-Turner,North Jacqueline,Canada,NET30
2083,Obrien-Foley,North Kellyborough,Brazil,NET45
2084,"Mitchell, Campos and Richardson",East Michelleville,India,EOM
2085,Russell-Rodriguez,Stephanietown,USA,NET30
2086,Fleming-Ward,Port Joshuafurt,Germany,NET30
2087,Sanders-Moses,Rachelville,India,NET45
2088,Hill PLC,West Rebeccahaven,China,NET15
2089,Cline Ltd,Jessicaton,India,EOM
2090,Anderson-Henson,Lake Rachelland,Italy,NET15
2091,"Gross, Scott and Stephenson",Alextown,China,NET15
2092,Smith-Barker,West Joanville,UK,NET15
2093,Allen-Smith,North John,China,NET30
2094,"King, Griffin and Graham",Lake Sean,China,NET30
2095,"Wright, Chapman and Robbins",Evansville,France,NET30
2096,Gross and Sons,Port Edward,Mexico,COD
2097,Walters-Sweeney,Cindyport,USA,EOM
2098,"Flowers, Lang and Randall",Geraldville,Mexico,NET45
2099,"Morrow, Fitzgerald and Cooley",Port Molly,Canada,NET45
2100,"Irwin, Romero and Bell",Karenville,Singapore,NET15
2101,"Newman, Lopez and Robinson",Jonathanland,Canada,EOM
2102,"Garcia, Avila and Rodriguez",Roblesmouth,Japan,NET45
2103,Brown PLC,New Michael,Mexico,EOM
2104,Waters Ltd,South Scottshire,Singapore,COD
2105,Espinoza-Foster,South Jack,Germany,NET30
2106,"Mendoza, Summers and Chang",New Donald,France,EOM
2107,Lucero-Choi,Ellisonton,Canada,NET15
2108,Ward Inc,Jamesmouth,Germany,EOM
2109,Medina Inc,Robinbury,Australia,COD
2110,Miller-Hall,South Jacobland,China,NET30
2111,Marsh PLC,Lake Glenborough,Germany,NET45
2112,Hill PLC,Hayesbury,Canada,NET15
2113,"Pierce, Collins and Stewart",Jeremyside,UK,EOM
2114,Smith-Lee,Martinberg,India,EOM
2115,Frazier Group,Smithhaven,Italy,EOM
2116,Valdez and Sons,Jessicaburgh,Australia,EOM
2117,Arias and Sons,Lake Carlaside,Brazil,NET15
2118,"Ross, Robinson and Lambert",Simpsonfurt,China,NET15
2119,"Williams, Stephens and Nelson",Lake Heather,UK,NET15
2120,"Combs, King and Cox",Richardburgh,Australia,COD
2121,Macias Inc,Lake Gregoryton,France,NET45
2122,Riley Group,Martinezmouth,Australia,COD
2123,Moore-Randall,Tamarastad,France,EOM
2124,"Sanders, Matthews and Hayes",Dominguezburgh,Spain,NET30
2125,Ryan-Brewer,Burtontown,Canada,NET15
2126,White-Prince,Jamesville,South Africa,NET45
2127,Davis Ltd,Jordanhaven,Italy,COD
2128,Wheeler-Miller,New Adamshire,Japan,EOM
2129,Snyder LLC,Robertmouth,France,NET15
2130,"Robertson, Gibson and Anthony",Weaverstad,South Africa,EOM
2131,Livingston LLC,Hoovertown,France,COD
2132,Weber-Chambers,Mcclureberg,Italy,NET30
2133,Brown Inc,Jeffmouth,Italy,EOM
2134,Mccarthy Ltd,New Shelley,Germany,EOM
2135,"Crawford, Bauer and Smith",Patrickmouth,Germany,NET30
2136,Reynolds Ltd,New Ashley,Italy,COD
2137,Mendez-Thomas,West Amyville,Germany,NET30
2138,"Smith, Petty and James",Jamesburgh,Spain,NET15
2139,"Cooke, Mcbride and Lee",Escobarview,Italy,NET30
2140,"Brown, Chambers and Hunter",New Jeffrey,Canada,COD
2141,Jones and Sons,East Billyhaven,South Africa,NET30
2142,Silva Inc,Gentrybury,Brazil,NET45
2143,Ali PLC,Robertsonhaven,France,EOM
2144,Cardenas and Sons,Derrickshire,UK,NET15
2145,Gray PLC,West Theresa,UK,NET45
2146,"Murray, Daniels and Davis",West Christinaborough,South Africa,NET45
2147,Brown-Mccann,Frostborough,France,NET15
2148,Evans and Sons,Rodneyfort,South Africa,COD
2149,Johnson Ltd,Markfurt,Spain,COD
2150,Wolf and Sons,Martinezburgh,Spain,NET45
2151,"Scott, Perez and Evans",Frankside,India,NET45
2152,Morgan-Matthews,Edwardsmouth,South Africa,EOM
2153,Brennan-Valdez,Port Darylland,Italy,NET45
2154,"Lee, Wright and Holland",Port Heatherton,Canada,NET45
2155,Colon-Moore,Juliemouth,Italy,EOM
2156,Robertson PLC,Tuckerhaven,Mexico,NET30
2157,"Escobar, Fuller and Diaz",Hollandbury,USA,NET30
2158,Jones-Franklin,Port Tracytown,Brazil,NET30
2159,Davidson-Johnson,Hilltown,Canada,NET30
2160,Rodriguez-Henderson,Reneefurt,Italy,EOM
2161,Wall-Schwartz,Ryanbury,Japan,NET15
2162,"Jones, Cook and Collins",New Josephville,Italy,NET15
2163,"Schroeder, Wright and Watkins",West Linda,China,NET30
2164,Lamb-Johnson,Sherryshire,India,NET30
2165,Wall PLC,Makaylafurt,China,NET30
2166,"Huerta, Carter and Chambers",New Scottview,Japan,NET45
2167,"Matthews, Hunt and Bennett",Teresabury,Italy,NET30
2168,Hale-Sanders,South Daniel,Canada,COD
2169,"Avila, Parker and Suarez",Reginafort,Germany,NET45
2170,"Terry, Pearson and Coleman",New Joshuafurt,Germany,NET15
2171,"Johnson, Maxwell and Phillips",New Michelle,Singapore,NET45
2172,"Harper, Brown and Franco",Harrisside,France,EOM
2173,"Collins, Padilla and Booth",Lake Kevinstad,Australia,COD
2174,Stewart-Smith,Port Sydneyfurt,Spain,EOM
2175,Delgado-Torres,North Matthewville,Canada,EOM
2176,"Parsons, Howard and Lopez",Cannonhaven,Japan,COD
2177,Rose and Sons,Wardtown,Brazil,NET15
2178,David-Perez,Lake Shannon,Brazil,NET15
2179,Fowler Inc,East Stephanie,USA,COD
2180,Young-Johnson,Port Stephanieborough,Canada,NET30
2181,Cooper and Sons,New Anna,Canada,NET15
2182,"Garrett, Lee and Larson",East Edwinberg,USA,NET30
2183,"Jordan, Reed and Crawford",East Heather,USA,NET45
