InventoryID,WarehouseID,ProductID,OnHand,OnOrder,LastUpdated
30001,5010,1016,8279,2368,2025-11-26
30002,5007,1004,10829,2365,2025-02-20
30003,5009,1006,9405,2737,2025-03-01
30004,5010,1003,13334,2006,2025-04-14
30005,5003,1009,3914,3812,2024-01-30
30006,5012,1013,19185,3387,2024-05-24
30007,5010,1004,17983,2494,2024-04-24
30008,5013,1008,813,2563,2023-06-21
30009,5010,1023,3052,1179,2024-07-07
30010,5009,1025,10668,4186,2024-07-27
30011,5014,1017,16081,2705,2024-01-28
30012,5015,1025,9544,1025,2023-06-27
30013,5002,1024,1248,2033,2025-10-11
30014,5004,1005,7946,2200,2023-12-08
30015,5012,1018,444,3612,2023-08-10
30016,5013,1021,1197,3308,2023-07-29
30017,5010,1012,10418,3164,2023-02-02
30018,5015,1009,632,4909,2025-11-21
30019,5002,1021,12069,1474,2025-02-28
30020,5011,1016,1576,4857,2025-02-13
30021,5014,1014,129,3551,2024-12-26
30022,5001,1001,3118,4267,2024-01-31
30023,5007,1008,10159,3243,2024-01-30
30024,5006,1016,13406,4168,2025-09-07
30025,5011,1021,1566,1408,2023-01-24
30026,5010,1022,13023,2324,2025-03-25
30027,5005,1021,18516,296,2023-09-16
30028,5007,1009,7671,4312,2023-09-30
30029,5005,1022,6098,1584,2025-11-02
30030,5006,1016,12602,1380,2024-09-11
30031,5014,1005,13926,1882,2023-11-04
30032,5001,1016,13099,1207,2023-11-29
30033,5005,1012,16335,1489,2023-01-22
30034,5010,1019,15483,2825,2024-02-21
30035,5004,1021,720,70,2024-02-26
30036,5005,1002,18758,2753,2024-07-06
30037,5013,1025,18767,1592,2025-11-13
30038,5012,1022,18426,695,2024-03-25
30039,5004,1013,10870,592,2024-05-08
30040,5011,1008,9785,4996,2023-01-29
30041,5004,1011,14992,1217,2024-05-20
30042,5005,1012,16155,257,2024-03-07
30043,5002,1023,13059,1560,2025-05-19
30044,5008,1025,629,3958,2024-06-14
30045,5015,1008,8403,2763,2025-12-20
30046,5011,1022,9850,3571,2024-02-04
30047,5007,1015,14580,2933,2023-05-24
30048,5012,1022,3394,2072,2023-06-15
30049,5011,1018,7388,1364,2023-08-15
30050,5004,1024,13484,2671,2023-07-01
30051,5012,1023,19950,1921,2024-07-16
30052,5009,1002,13679,4080,2025-05-05
30053,5004,1001,14449,2470,2023-09-04
30054,5014,1007,15864,4382,2023-09-17
30055,5002,1023,3968,1947,2025-10-07
30056,5004,1008,12170,453,2023-07-08
30057,5005,1012,13580,2715,2024-02-14
30058,5012,1011,2564,634,2024-09-18
30059,5006,1020,7507,4552,2024-06-27
30060,5010,1007,3002,2663,2025-04-21
30061,5002,1024,14536,1957,2025-09-07
30062,5012,1002,14640,124,2025-03-20
30063,5001,1004,15465,1455,2024-02-14
30064,5003,1011,13976,2585,2024-11-15
30065,5008,1015,11150,2418,2025-11-19
30066,5006,1024,10339,3050,2025-11-26
30067,5013,1025,4573,1091,2024-07-15
30068,5010,1003,16762,3617,2024-10-08
30069,5009,1006,11677,3000,2025-04-09
30070,5015,1010,6558,2039,2024-02-28
30071,5005,1001,10924,1148,2023-01-02
30072,5015,1017,11148,1636,2025-10-02
30073,5003,1004,13414,3115,2025-06-13
30074,5004,1014,321,3277,2025-02-05
30075,5009,1001,16877,3950,2025-03-07
30076,5011,1020,13093,2872,2023-05-25
30077,5006,1015,7341,438,2023-03-29
30078,5011,1009,9640,3743,2025-08-04
30079,5002,1025,17499,2438,2025-09-29
30080,5002,1013,14441,2134,2025-02-19
30081,5011,1013,15262,1589,2025-08-21
30082,5006,1005,9594,4609,2024-11-02
30083,5014,1022,19391,2130,2025-04-20
