ProductionOrderID,ProductionLineID,ProductID,ProductionDate,BatchSize,UnitCost,TotalProductionCost
20001,4001,1022,2024-02-18,1170,1.29,1509.3
20002,4010,1003,2025-07-12,3726,0.85,3167.1
20003,4001,1009,2025-01-26,9475,2.31,21887.25
20004,4002,1010,2025-01-24,7378,0.67,4943.26
20005,4007,1021,2023-01-02,2954,0.8,2363.2
20006,4007,1015,2024-01-10,6465,2.16,13964.4
20007,4010,1007,2023-08-31,913,2.38,2172.94
20008,4006,1023,2025-11-24,7603,0.42,3193.26
20009,4004,1009,2024-07-12,6365,1.26,8019.9
20010,4009,1022,2023-04-18,562,2.04,1146.48
20011,4006,1018,2024-10-06,9925,0.27,2679.75
20012,4006,1006,2024-06-29,1821,1.62,2950.02
20013,4005,1021,2025-05-28,7103,2.4,17047.2
20014,4003,1023,2025-05-17,7916,1.29,10211.64
20015,4005,1001,2025-11-29,7564,2.18,16489.52
20016,4002,1008,2024-09-11,3566,2.23,7952.18
20017,4009,1016,2024-08-26,7069,1.62,11451.78
20018,4007,1023,2024-10-30,6920,2.42,16746.4
20019,4005,1020,2023-12-30,1441,0.11,158.51
20020,4010,1013,2025-09-21,3670,2.18,8000.6
20021,4001,1022,2024-05-24,7678,1.0,7678.0
20022,4002,1005,2023-03-13,9200,1.94,17848.0
20023,4002,1020,2024-10-16,9915,0.59,5849.85
20024,4009,1020,2023-02-04,9568,0.98,9376.64
20025,4006,1021,2023-05-12,3673,1.56,5729.88
20026,4002,1005,2024-01-19,5196,2.2,11431.2
20027,4008,1009,2023-02-04,1498,1.91,2861.18
20028,4009,1005,2025-05-26,5428,1.67,9064.76
20029,4008,1012,2025-12-05,1084,0.49,531.16
20030,4004,1019,2025-03-14,4101,1.26,5167.26
20031,4008,1008,2024-10-12,5530,1.75,9677.5
20032,4003,1017,2024-12-22,8395,1.88,15782.6
20033,4001,1012,2025-06-07,5599,1.66,9294.34
20034,4001,1005,2024-11-22,8565,1.35,11562.75
20035,4005,1005,2025-10-04,5774,1.2,6928.8
20036,4004,1011,2023-06-12,7578,2.18,16520.04
20037,4007,1017,2025-09-21,4476,2.38,10652.88
20038,4002,1017,2024-07-10,4805,1.99,9561.95
20039,4010,1025,2024-04-22,9708,1.41,13688.28
20040,4007,1010,2023-03-25,9365,2.46,23037.9
20041,4005,1014,2023-12-01,7219,0.17,1227.23
20042,4001,1014,2025-11-09,9726,2.41,23439.66
20043,4005,1009,2025-11-04,8882,1.32,11724.24
20044,4009,1014,2024-03-03,4645,1.31,6084.95
20045,4003,1011,2024-05-25,1552,1.02,1583.04
20046,4005,1003,2023-10-20,6539,1.69,11050.91
20047,4006,1006,2024-02-18,7307,2.25,16440.75
