SalesOrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount
10001,2025-06-30,2467,1022,899,3.68,3308.32
10002,2023-08-23,2084,1002,1157,6.12,7080.84
10003,2023-06-12,2429,1009,3636,4.07,14798.52
10004,2025-02-13,2068,1004,1545,2.69,4156.05
10005,2023-11-24,2203,1009,4195,2.86,11997.7
10006,2025-01-14,2350,1018,2974,3.68,10944.32
10007,2024-02-07,2424,1008,625,4.21,2631.25
10008,2024-07-18,2430,1019,3281,4.34,14239.54
10009,2023-01-25,2048,1022,295,3.94,1162.3
10010,2023-06-13,2249,1020,904,3.47,3136.88
10011,2023-04-09,2130,1025,3158,2.35,7421.3
10012,2025-12-07,2379,1023,3473,3.23,11217.79
10013,2023-01-21,2319,1004,926,2.73,2527.98
10014,2024-07-02,2080,1021,2656,0.33,876.48
10015,2023-11-02,2168,1022,1134,4.37,4955.58
10016,2025-05-15,2040,1004,1888,1.89,3568.32
10017,2025-07-19,2204,1020,1116,3.01,3359.16
10018,2025-07-13,2144,1024,1077,5.24,5643.48
10019,2025-09-29,2220,1024,1178,4.26,5018.28
10020,2023-12-20,2209,1014,1565,5.72,8951.8
10021,2024-03-22,2337,1014,3982,3.54,14096.28
10022,2025-04-16,2459,1021,4709,1.98,9323.82
10023,2024-08-01,2374,1003,2758,4.91,13541.78
10024,2024-09-25,2298,1002,780,5.64,4399.2
10025,2023-03-31,2041,1010,2527,5.7,14403.9
10026,2024-11-02,2335,1003,877,4.99,4376.23
10027,2024-10-04,2085,1004,4164,2.78,11575.92
10028,2025-10-29,2445,1012,543,2.61,1417.23
10029,2023-02-28,2295,1006,2041,3.46,7061.86
10030,2025-06-20,2203,1025,2121,1.42,3011.82
10031,2024-03-29,2361,1008,133,4.59,610.47
10032,2024-09-06,2470,1001,2247,2.06,4628.82
10033,2025-09-26,2331,1004,1328,2.53,3359.84
10034,2025-09-09,2241,1006,3112,3.19,9927.28
10035,2023-03-28,2339,1025,4800,3.09,14832.0
10036,2025-11-15,2316,1001,2667,3.19,8507.73
10037,2025-07-31,2255,1021,219,2.14,468.66
10038,2023-02-25,2286,1006,4011,2.84,11391.24
10039,2023-02-28,2242,1007,4640,0.45,2088.0
10040,2023-01-19,2049,1007,748,1.22,912.56
10041,2025-05-28,2005,1014,1962,2.84,5572.08
10042,2024-07-05,2491,1005,2378,2.97,7062.66
